@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "SIS18"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099891
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951337
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7239467
@ ALFA             %le        0.0348900783
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.353638321
@ Q1               %le         4.155745949
@ Q2               %le         3.326765975
@ DQ1              %le        -6.204147258
@ DQ2              %le        -4.159503301
@ DXMAX            %le         3.384745016
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.10844082
@ BETYMAX          %le         23.29409786
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.050957256
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         7.778766405
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le       0.01994300298
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "28/02/12"
@ TIME             %08s "15.31.43"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "RB"                "SBEND"                    134.9349667        2.617993878         -3.6743994       -2.842735824
 "DR2"               "DRIFT"                    135.9049667               0.97       -3.803526371       -2.851270732
 "RB"                "SBEND"                    138.5229605        2.617993878       -3.984671943       -2.899100965
 "DR3"               "DRIFT"                    145.3619722          6.8390117       -3.942875637       -3.229362419
 "QS1F"              "QUADRUPOLE"               146.4019722               1.04       -3.929326082       -3.244617985
 "DR4"               "DRIFT"                    147.0019722                0.6       -3.919852638       -3.245283455
 "QS2D"              "QUADRUPOLE"               148.0419722               1.04       -3.903357675       -3.243018707
 "DR5"               "DRIFT"                    148.7517722             0.7098       -3.897963243       -3.241551511
 "QS3T"              "QUADRUPOLE"               149.2321722             0.4804       -3.898972619       -3.240848972
 "DR6"               "DRIFT"                    149.7319722             0.4998       -3.905785402        -3.24035755
 "DR1"               "DRIFT"                    150.3769722              0.645       -3.926368616       -3.240113829
 "RB"                "SBEND"                    152.9949661        2.617993878       -4.168442154       -3.245016302
 "DR2"               "DRIFT"                    153.9649661               0.97       -4.297669894       -3.253591926
 "RB"                "SBEND"                      156.58296        2.617993878       -4.479138644       -3.301212165
 "DR3"               "DRIFT"                    163.4219717          6.8390117       -4.437605191       -3.627777368
 "QS1F"              "QUADRUPOLE"               164.4619717               1.04       -4.424060428       -3.642796627
 "DR4"               "DRIFT"                    165.0619717                0.6       -4.414589061       -3.643408952
 "QS2D"              "QUADRUPOLE"               166.1019717               1.04       -4.398090916       -3.641100485
 "DR5"               "DRIFT"                    166.8117717             0.7098       -4.392682883       -3.639614248
 "QS3T"              "QUADRUPOLE"               167.2921717             0.4804       -4.393676034       -3.638903092
 "DR6"               "DRIFT"                    167.7919717             0.4998       -4.400464509       -3.638407482
 "DR1"               "DRIFT"                    168.4369717              0.645       -4.421003171       -3.638166746
 "RB"                "SBEND"                    171.0549656        2.617993878       -4.662734016        -3.64322028
 "DR2"               "DRIFT"                    172.0249656               0.97       -4.791794594       -3.651934412
 "RB"                "SBEND"                    174.6429595        2.617993878       -4.972989222       -3.700328928
 "DR3"               "DRIFT"                    181.4819712          6.8390117        -4.93156883        -4.03037165
 "QS1F"              "QUADRUPOLE"               182.5219712               1.04       -4.918053092        -4.04535038
 "DR4"               "DRIFT"                    183.1219712                0.6       -4.908607122       -4.045916499
 "QS2D"              "QUADRUPOLE"               184.1619712               1.04       -4.892186548       -4.043533869
 "DR5"               "DRIFT"                    184.8717712             0.7098       -4.886850999       -4.041986562
 "QS3T"              "QUADRUPOLE"               185.3521712             0.4804       -4.887900302       -4.041225452
 "DR6"               "DRIFT"                    185.8519712             0.4998       -4.894754354       -4.040670536
 "DR1"               "DRIFT"                    186.4969712              0.645       -4.915388411       -4.040341648
 "RB1"               "SBEND"                    187.8059681        1.308996939       -5.003369699        -4.04041985
 "S11MU1A"           "HKICKER"                  187.8059681                  0       -5.003369699        -4.04041985
 "RB2"               "SBEND"                     189.114965        1.308996939       -5.157533062       -4.044871779
 "DR2"               "DRIFT"                     190.084965               0.97       -5.286679206        -4.05329767
 "RB1"               "SBEND"                     191.393962        1.308996939       -5.409468108       -4.070974446
 "S11MU2A"           "HKICKER"                   191.393962                  0       -5.409468108       -4.070974446
 "RB2"               "SBEND"                    192.7029589        1.308996939       -5.467741842       -4.100589948
 "DR3C"              "DRIFT"                    198.5629589               5.86       -5.438480786       -4.396744314
 "S11MB1"            "HKICKER"                  198.5629589                  0       -5.438480786       -4.396744314
 "DR3D"              "DRIFT"                    199.5429589               0.98       -5.425770501       -4.428445613
 "QS1F"              "QUADRUPOLE"               200.5829589               1.04       -5.412211401       -4.443705987
 "S11KM2DV"          "VKICKER"                  200.5829589                  0       -5.412211401       -4.443705987
 "DR4"               "DRIFT"                    201.1829589                0.6       -5.402729944       -4.444396585
 "QS2D"              "QUADRUPOLE"               202.2229589               1.04       -5.386212341       -4.442176427
 "DR5"               "DRIFT"                    202.9327589             0.7098       -5.380801013       -4.440747453
 "QS3T"              "QUADRUPOLE"               203.4131589             0.4804       -5.381800514        -4.44007671
